Name,Reference Number,Built Heritage/Site,Name of the Monument / Built Heritage / Site,State,District,Cultural Affiliation,Date/Period,Geo-Location,Air Port,Railway Station,Topographical Feature,Architectural Style,Description of Building/ Structure/Site,Sub-Usages,Ownership,Protection status,Author,Published/Unpublished,Bus Station,Usages,Sub District,Village,Manual Village
INTACH Listing Dist Jamnagar Gujarat,GJ10002801,Built Heritage,Victoria Bridge,Gujarat,Jamnagar,Medieval,C 18th - 19th Cent AD,Near Hajira,Ahmedabad,Jamnagar,Plain,Colonial Style,Old stone vaulted Bridge built during British reign on Nagmati River Previously it was meant for railway now used for vehicalur traffic,Bridge,Public,Unprotected,INTACH,Unpublished,,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002805,Built Heritage,Sajuba Girls School,Gujarat,Jamnagar,Medieval,C 18th - 19th Cent AD,Ranjit Road,Ahmedabad,Janmangar,Plain,Local Tradition,Balanced symmetriacal fa ade with domes chhatries projected portico corbelled arches Designed brackets and parapet wall simple interior with elevated plinth,Girl s School,State,,INTACH,Unpublished,Ranjit Road,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002790,Built Heritage,Rattan Bai Masjid,Gujarat,Jamnagar,Medieval,C 18th - 19th Cent AD,,Ahmedabad,Jamnagar,Plain,Indo-Islamic,Two round minarate with projected galleries at three levels Highly ornamental ground and first floor in stucco marble pavillion Decorative parapet wall with domical spear Tri-columns with common base,Mosque,Trust,,INTACH,Unpublished,,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002785,Built Heritage,Ranchhorji Mandir,Gujarat,Jamnagar,Medieval,C 17th - 18th Cent AD,,Ahmedabad,Jamnagar,Plain,Local Tradition,Simple and balance structure decorative reliefs in the form of sculptures stucco work grand entrance,Worship,Trust,Unprotected,INTACH,Unpublished,,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002778,Built Heritage,Radha Krishna Mandir,Gujarat,Jamnagar,Medieval,C 18th - 19th Cent AD,,Ahmedabad,Jamnagar,Plain,Local Tradition,Simple Fa ade with colonial impression   Carved pillars  3 circular columns combined    Simple Shikhar,Worship,Trust,,INTACH,Unpublished,,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002810,Built Heritage,Pratap Vilas Palace,Gujarat,Jamnagar,,,Palace Compounding,Ahmedabad,Jamnagar,Plain,Colonial Style,Balance and eye cathing proportion with ribbed domes clock tower and Jharokhas arched windows Heavilly carved  fa ade with round pillars and corbelled arches,Residential,Private,,INTACH,Unpublished,,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002798,Built Heritage,Old Railway Station,Gujarat,Jamnagar,Modern,C 19th - 20th Cent AD,Old Railway Station,Ahmedabad,Jamnagar,Plain,Local Tradition,Balance structure with sloping tiled roof clock tower wooden corballing and mental spikes Cast iron carved brackets and pilalrs and other supporting structure,Railway Swasthaya Kendra - Health Centre,State,Unprotected,INTACH,Unpublished,,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002786,Built Heritage,Neel Kanth Mahadev Temple,Gujarat,Jamnagar,Medieval,C 16th - 17th Cent AD,Town Hall Chowk,Ahmedabad,Jamnagar,Plain,Local Tradition,Elevated plinth stucco ornamentation intricately carved wooden doors carved pillar Dome on Jagmohan,Worship,Trust,,INTACH,Unpublished,Town Hall Chowk,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002795,Built Heritage,Mahila Mandal Building,Gujarat,Jamnagar,Modern,C 19th - 20th Cent AD,Near Ratan Bai Masjid,Ahmedabad,Jamnagar,Plain,Colonial Style,Single storeyed structure with touch of colonial architecture highly carved fa ade with stucco carved columns lintels and parapet wall,Office cum Training Centre,Trust,,INTACH,Unpublished,Near Ratan Bai Masjid,,,,
INTACH Listing Dist Jamnagar Gujarat,GJ10002799,Built Heritage,Khambhalia Gate,Gujarat,Jamnagar,Medieval,C 18th - 19th Cent AD,Khambhalia Gate,Ahmedabad,Jamnagar,Plain,Local Tradition,Simple structure with square columns and corbelled arch Decorative fa ade with stucco ornamentation,Gateway,State,State Protected,INTACH,Unpublished,,,,,
