ref no,name,url
DL02012282,Nisheman Primary School,builtDetail.do?refId=12282&state=07
DL02012440,Residence,builtDetail.do?refId=12440&state=07
DL02012289,Residence,builtDetail.do?refId=12289&state=07
DL02012288,Mosque,builtDetail.do?refId=12288&state=07
DL02012285,Office of Divisional Commissioner  Revenue Department ,builtDetail.do?refId=12285&state=07
DL05011892,Turret,builtDetail.do?refId=11892&state=07
DL08012494,Jharna,builtDetail.do?refId=12494&state=07
DL08012512,Dalan,builtDetail.do?refId=12512&state=07
DL08012510,Ruins,builtDetail.do?refId=12510&state=07
DL08012509,Tomb,builtDetail.do?refId=12509&state=07
DL08012493,"Tomb, Mehrauli",builtDetail.do?refId=12493&state=07
DL09012016,Tomb and Mosque of Makhdum Samauddin,builtDetail.do?refId=12016&state=07
DL08012167,Ashoka Mission,builtDetail.do?refId=12167&state=07
DL08012502, Dalan,builtDetail.do?refId=12502&state=07
DL08012538,Unknown Structure,builtDetail.do?refId=12538&state=07
DL02011885,Mosque,builtDetail.do?refId=11885&state=07
DL06012156,Residence,builtDetail.do?refId=12156&state=07
DL06012476,SBI Building ,builtDetail.do?refId=12476&state=07
DL09011979,Ruins,builtDetail.do?refId=11979&state=07
DL08012457,Baghichi ki Masjid,builtDetail.do?refId=12457&state=07
DL06012556,Bada Shivalaya,builtDetail.do?refId=12556&state=07
DL06011962,Gateway of Zeenat Mahal Haveli.,builtDetail.do?refId=11962&state=07
DL09012111,Mosque,builtDetail.do?refId=12111&state=07
DL05011904,Qadam Sharif,builtDetail.do?refId=11904&state=07
DL02011884,Methodist Church,builtDetail.do?refId=11884&state=07
DL09012000,Kali Masjid,builtDetail.do?refId=12000&state=07
DL02011881,I P College for Women,builtDetail.do?refId=11881&state=07
DL09011924,Hauz Khas Tank,builtDetail.do?refId=11924&state=07
DL09012095,Gateway,builtDetail.do?refId=12095&state=07
DL09012048,Turret,builtDetail.do?refId=12048&state=07
DL06011410,Masjid Rukn-Ud-Daula,builtDetail.do?refId=11410&state=07
DL08012400,Qutub Rest House,builtDetail.do?refId=12400&state=07
DL08012438,Mosque,builtDetail.do?refId=12438&state=07
DL09011740,Graveyard,builtDetail.do?refId=11740&state=07
DL09011471,Tomb,builtDetail.do?refId=11471&state=07
DL09011467,Northern gateway of Inner Enclosure of Tomb of Qutub Sahib,builtDetail.do?refId=11467&state=07
DL09011820,Tomb,builtDetail.do?refId=11820&state=07
DL02012429,Delhi Institute of Technology ,builtDetail.do?refId=12429&state=07
DL09012178,Arcaded Building,builtDetail.do?refId=12178&state=07
DL08012464,Gateway,builtDetail.do?refId=12464&state=07
DL06011741,Gateway to Gali Achar Wali,builtDetail.do?refId=11741&state=07
DL02011938,Dargah and Mazar of Saika Baba,builtDetail.do?refId=11938&state=07
DL09011858,Khanqah,builtDetail.do?refId=11858&state=07
DL02012184,Market,builtDetail.do?refId=12184&state=07
DL09011797,Mosque of Wafati Shah,builtDetail.do?refId=11797&state=07
DL08012389,Tomb of Allauddin,builtDetail.do?refId=12389&state=07
DL05012096,Jaipur House.,builtDetail.do?refId=12096&state=07
DL06011731,Gateway to Fatak Daroga,builtDetail.do?refId=11731&state=07
DL09011851,Mosque,builtDetail.do?refId=11851&state=07
DL09011816,Tuhfewala Gumbad,builtDetail.do?refId=11816&state=07
DL09012206,Jain Mandir,builtDetail.do?refId=12206&state=07
DL06011728,Gateway to Lambi Gali,builtDetail.do?refId=11728&state=07
DL06011525,Masjid Mir Afzal,builtDetail.do?refId=11525&state=07
DL06012449,Badi Masjid,builtDetail.do?refId=12449&state=07
DL09012536,Bridge,builtDetail.do?refId=12536&state=07
DL09012114,Enclosure Wall,builtDetail.do?refId=12114&state=07
DL09011818,Tomb,builtDetail.do?refId=11818&state=07
DL09011988,Domed building,builtDetail.do?refId=11988&state=07
DL09012157,Gateway of Temple,builtDetail.do?refId=12157&state=07
DL09011814,Tomb,builtDetail.do?refId=11814&state=07
DL06012581,Hauz Wali Masjid,builtDetail.do?refId=12581&state=07
DL06011523,Lal Masjid,builtDetail.do?refId=11523&state=07
DL06011891,Gateway to Katra Nawab,builtDetail.do?refId=11891&state=07
DL06011890,Shvetambar Sthanakvasi Jain Mahavir Bhavan,builtDetail.do?refId=11890&state=07
DL06011889,Gujarati Temple,builtDetail.do?refId=11889&state=07
DL06011888,Northbrook Fountain,builtDetail.do?refId=11888&state=07
DL06012352,Hardayal Municipal Public Library,builtDetail.do?refId=12352&state=07
DL06011937,Bhagirath Palace,builtDetail.do?refId=11937&state=07
DL05012225,Police Station,builtDetail.do?refId=12225&state=07
DL05012092,Patiala House Delhi law courts ,builtDetail.do?refId=12092&state=07
